img_path,race,race4,gender,age
FER-Original-Dataset/FER/fear/4531.png,Southeast Asian,Asian,Female,30-39
FER-Original-Dataset/FER/surprise/2746.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/2106.png,White,White,Male,50-59
FER-Original-Dataset/FER/fear/1913.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/2930.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/370.png,Black,Black,Male,30-39
FER-Original-Dataset/FER/calm/693.png,White,White,Male,50-59
FER-Original-Dataset/FER/calm/2101.png,East Asian,Asian,Male,20-29
FER-Original-Dataset/FER/fear/1122.png,White,White,Female,20-29
FER-Original-Dataset/FER/fear/1408.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/2937.png,White,Asian,Male,20-29
FER-Original-Dataset/FER/fear/426.png,Black,Black,Male,10-19
FER-Original-Dataset/FER/fear/3916.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/5517.png,Black,Black,Female,20-29
FER-Original-Dataset/FER/fear/3311.png,White,White,Male,0-2
FER-Original-Dataset/FER/calm/146.png,Latino_Hispanic,White,Male,20-29
FER-Original-Dataset/FER/surprise/2570.png,White,White,Female,30-39
FER-Original-Dataset/FER/fear/4707.png,East Asian,Asian,Female,3-9
FER-Original-Dataset/FER/anger/2330.png,Black,Black,Female,10-19
FER-Original-Dataset/FER/surprise/2093.png,White,White,Female,20-29
FER-Original-Dataset/FER/fear/610.png,Black,White,Female,20-29
FER-Original-Dataset/FER/calm/977.png,Black,Black,Male,20-29
FER-Original-Dataset/FER/calm/2337.png,White,White,Female,3-9
FER-Original-Dataset/FER/fear/1314.png,White,White,Male,3-9
FER-Original-Dataset/FER/calm/5451.png,Black,Black,Male,30-39
FER-Original-Dataset/FER/fear/3899.png,White,White,Female,40-49
FER-Original-Dataset/FER/calm/5498.png,White,White,Female,20-29
FER-Original-Dataset/FER/fear/3850.png,Middle Eastern,White,Male,20-29
FER-Original-Dataset/FER/anger/2871.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/2047.png,Middle Eastern,White,Male,50-59
FER-Original-Dataset/FER/fear/1587.png,Middle Eastern,White,Female,20-29
FER-Original-Dataset/FER/fear/1064.png,Latino_Hispanic,White,Male,30-39
FER-Original-Dataset/FER/calm/236.png,White,White,Male,50-59
FER-Original-Dataset/FER/fear/1855.png,White,White,Female,30-39
FER-Original-Dataset/FER/anger/2089.png,White,White,Male,50-59
FER-Original-Dataset/FER/calm/2876.png,Middle Eastern,White,Male,40-49
FER-Original-Dataset/FER/surprise/2600.png,White,White,Female,70+
FER-Original-Dataset/FER/fear/4477.png,White,White,Male,20-29
FER-Original-Dataset/FER/fear/4194.png,Indian,Indian,Female,20-29
FER-Original-Dataset/FER/anger/2040.png,White,White,Male,20-29
FER-Original-Dataset/FER/calm/2271.png,East Asian,Asian,Male,20-29
FER-Original-Dataset/FER/fear/1252.png,White,White,Male,10-19
FER-Original-Dataset/FER/calm/2792.png,Southeast Asian,Asian,Female,60-69
FER-Original-Dataset/FER/fear/1778.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/20.png,White,White,Female,30-39
FER-Original-Dataset/FER/fear/756.png,White,White,Male,20-29
FER-Original-Dataset/FER/calm/831.png,White,White,Male,40-49
FER-Original-Dataset/FER/calm/5667.png,Southeast Asian,Black,Male,70+
FER-Original-Dataset/FER/anger/2795.png,East Asian,Asian,Male,3-9
FER-Original-Dataset/FER/fear/4641.png,White,White,Male,20-29
FER-Original-Dataset/FER/surprise/2436.png,East Asian,Asian,Female,20-29
FER-Original-Dataset/FER/anger/2276.png,White,White,Male,40-49
FER-Original-Dataset/FER/fear/4688.png,White,White,Female,40-49
FER-Original-Dataset/FER/fear/3257.png,Southeast Asian,Asian,Female,30-39
FER-Original-Dataset/CKP/calm/1.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/462.png,White,White,Female,30-39
FER-Original-Dataset/FER/anger/181.png,Black,Black,Male,20-29
FER-Original-Dataset/FER/calm/3794.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/148.png,White,White,Male,30-39
FER-Original-Dataset/FER/calm/3277.png,White,White,Male,30-39
FER-Original-Dataset/FER/surprise/1435.png,White,White,Male,30-39
FER-Original-Dataset/FER/anger/1796.png,White,White,Female,30-39
FER-Original-Dataset/FER/calm/4382.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/1275.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/744.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/979.png,Southeast Asian,White,Female,3-9
FER-Original-Dataset/FER/surprise/3430.png,Southeast Asian,White,Female,20-29
FER-Original-Dataset/FER/anger/3793.png,Black,Black,Male,20-29
FER-Original-Dataset/FER/calm/1272.png,Middle Eastern,Indian,Male,70+
FER-Original-Dataset/FER/anger/4666.png,White,White,Male,20-29
FER-Original-Dataset/FER/fear/2251.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/1791.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/4385.png,White,Asian,Male,30-39
FER-Original-Dataset/FER/calm/1758.png,White,Asian,Female,20-29
FER-Original-Dataset/FER/fear/2298.png,White,White,Male,40-49
FER-Original-Dataset/FER/fear/2856.png,White,Asian,Female,20-29
FER-Original-Dataset/FER/anger/1569.png,White,White,Male,20-29
FER-Original-Dataset/FER/calm/1875.png,White,White,Female,40-49
FER-Original-Dataset/FER/surprise/1329.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/1603.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/572.png,East Asian,White,Male,20-29
FER-Original-Dataset/FER/anger/1043.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/4457.png,White,White,Male,30-39
FER-Original-Dataset/CKP/surprise/88.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/3041.png,White,White,Female,20-29
FER-Original-Dataset/FER/anger/654.png,White,White,Male,30-39
FER-Original-Dataset/CKP/surprise/41.png,Black,Black,Female,20-29
FER-Original-Dataset/FER/anger/3877.png,White,White,Male,20-29
FER-Original-Dataset/FER/calm/3088.png,Black,Black,Female,40-49
FER-Original-Dataset/FER/anger/1872.png,White,White,Female,3-9
FER-Original-Dataset/FER/anger/4499.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/4985.png,White,White,Male,20-29
FER-Original-Dataset/FER/calm/1044.png,Black,Black,Female,20-29
FER-Original-Dataset/FER/anger/4450.png,East Asian,Asian,Female,10-19
FER-Original-Dataset/FER/surprise/869.png,Black,Black,Female,30-39
FER-Original-Dataset/FER/fear/2067.png,White,Asian,Male,30-39
FER-Original-Dataset/FER/anger/3046.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/3606.png,White,White,Female,30-39
FER-Original-Dataset/FER/calm/3870.png,Black,Black,Male,20-29
FER-Original-Dataset/FER/calm/6178.png,White,White,Male,10-19
FER-Original-Dataset/FER/calm/1334.png,Latino_Hispanic,Indian,Male,20-29
FER-Original-Dataset/FER/anger/4720.png,White,White,Male,0-2
FER-Original-Dataset/FER/surprise/1868.png,White,White,Female,20-29
FER-Original-Dataset/FER/fear/2317.png,Southeast Asian,Asian,Male,40-49
FER-Original-Dataset/FER/surprise/3095.png,East Asian,Asian,Female,20-29
FER-Original-Dataset/FER/anger/3336.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/3576.png,East Asian,Asian,Female,20-29
FER-Original-Dataset/FER/surprise/328.png,White,Asian,Female,20-29
FER-Original-Dataset/FER/anger/1619.png,White,White,Male,20-29
FER-Original-Dataset/FER/surprise/1573.png,White,White,Male,20-29
FER-Original-Dataset/FER/surprise/602.png,White,White,Male,10-19
FER-Original-Dataset/FER/surprise/1090.png,White,White,Male,50-59
FER-Original-Dataset/FER/anger/1333.png,East Asian,White,Male,40-49
FER-Original-Dataset/FER/calm/4727.png,White,White,Male,0-2
FER-Original-Dataset/FER/calm/3331.png,White,White,Female,20-29
FER-Original-Dataset/CKP/calm/57.png,White,White,Male,30-39
FER-Original-Dataset/FER/anger/524.png,White,White,Male,40-49
FER-Original-Dataset/FER/calm/3936.png,Black,Black,Male,30-39
FER-Original-Dataset/FER/surprise/3789.png,White,White,Male,20-29
FER-Original-Dataset/FER/fear/53.png,White,White,Female,10-19
FER-Original-Dataset/FER/anger/3100.png,White,White,Male,0-2
FER-Original-Dataset/FER/surprise/3740.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/1102.png,Middle Eastern,White,Male,60-69
FER-Original-Dataset/FER/anger/4516.png,White,Asian,Male,40-49
FER-Original-Dataset/FER/fear/2121.png,White,White,Male,20-29
FER-Original-Dataset/FER/anger/1934.png,East Asian,Asian,Female,30-39
FER-Original-Dataset/FER/calm/1428.png,Black,Black,Male,30-39
FER-Original-Dataset/FER/anger/712.png,White,White,Male,30-39
FER-Original-Dataset/FER/anger/3931.png,White,White,Male,30-39
FER-Original-Dataset/FER/calm/2700.png,White,White,Female,20-29
FER-Original-Dataset/FER/calm/3107.png,White,White,Female,20-29
FER-Original-Dataset/FER/surprise/1745.png,White,White,Male,20-29
FER-Original-Dataset/FER/anger/1105.png,White,White,Male,40-49
FER-Original-Dataset/FER/calm/4511.png,White,White,Male,20-29
FER-Original-Dataset/FER/surprise/434.png,White,White,Male,20-29
FER-Original-Dataset/FER/calm/1933.png,Middle Eastern,White,Male,70+
FER-Original-Dataset/FER/calm/5101.png,White,White,Male,40-49
FER-Original-Dataset/FER/calm/2517.png,East Asian,Asian,Male,3-9
FER-Original-Dataset/FER/fear/1534.png,White,Asian,Female,3-9
FER-Original-Dataset/FER/fear/4916.png,White,White,Male,30-39
