model,combined_score,accuracy_mse,fer_cm_mse,ckp_cm_mse,training_accuracy,training_accuracy_diff,combined_validation_accuracy,combined_validation_accuracy_diff
model_00012,28.343898625,2.8285,0.019409000000000003,0.039489624999999993,59.25,-1.3900000000000006,54.44,-1.9299999999999997
model_00001,394.90335212499997,39.481649999999995,0.022651750000000002,0.064200375,52.96,-7.68,51.9,-4.469999999999999
model_00005,1480.2123458124995,147.99999999999994,0.0931919375,0.11915387499999999,50.0,-10.64,42.85,-13.519999999999996
model_00008,1738.63438375,173.85250000000002,0.036872875,0.072510875,45.83,-14.810000000000002,45.04,-11.329999999999998
model_00011,1937.37824975,193.71465,0.08750625000000001,0.14424350000000002,47.86,-12.780000000000001,41.4,-14.969999999999999
model_00002,7826.547468749999,782.6044999999999,0.27445625,0.22801249999999998,30.57,-30.07,30.66,-25.709999999999997
model_00003,7826.547468749999,782.6044999999999,0.27445625,0.22801249999999998,30.57,-30.07,30.66,-25.709999999999997
model_00013,11834.189718749998,1183.3820999999998,0.18945625,0.1792625,24.43,-36.21,23.88,-32.489999999999995
model_00004,11899.369718749998,1189.9000999999998,0.18945625,0.1792625,24.43,-36.21,23.68,-32.69
model_00006,11899.369718749998,1189.9000999999998,0.18945625,0.1792625,24.43,-36.21,23.68,-32.69
model_00007,11899.369718749998,1189.9000999999998,0.18945625,0.1792625,24.43,-36.21,23.68,-32.69
model_00009,11917.503718749998,1191.6969999999997,0.26445625,0.26926249999999996,25.26,-35.379999999999995,22.73,-33.64
model_00014,12234.639218749999,1223.4270499999998,0.18945625,0.1792625,24.43,-36.21,22.67,-33.699999999999996
model_00010,13959.01121875,1395.85625,0.20320625000000003,0.2455125,19.74,-40.900000000000006,22.92,-33.449999999999996
